Date,Ping,Download-Speed,Upload-Speed
Mon Jan 30 09:45:01  2017,x,x,x
Mon Jan 30 10:00:01  2017,x,x,x
Mon Jan 30 10:15:01  2017,x,x,x
Mon Jan 30 10:30:01  2017,x,x,x
Mon Jan 30 10:45:01  2017,x,x,x
Mon Jan 30 11:00:01  2017,x,x,x
Mon Jan 30 11:15:01  2017,52.723,1.92 ,0.85 
Mon Jan 30 11:30:02  2017,x,x,x
Mon Jan 30 11:45:01  2017,60.989 ,0.21 ,0.00 
Mon Jan 30 12:00:01  2017,62.879 ,0.12 ,0.00 
Mon Jan 30 12:15:01  2017,x,x,x
Mon Jan 30 12:30:01  2017,x,x,x
Mon Jan 30 12:45:01  2017,x,x,x
Mon Jan 30 13:00:02  2017,x,x,x
Tue Jan 31 12:15:01  2017,x,x,x
Tue Jan 31 16:45:02  2017,x,x,x
Tue Jan 31 17:00:01  2017,x,x,x
Tue Jan 31 17:15:01  2017,x,x,x
Tue Jan 31 17:30:01  2017,x,x,x
Tue Jan 31 17:45:01  2017,58.969,0.60 ,3.18 
Tue Jan 31 18:00:01  2017,x,x,x
Tue Jan 31 18:15:01  2017,x,x,x
Tue Jan 31 18:30:01  2017,x,x,x
Tue Jan 31 18:45:01  2017,x,x,x
Tue Jan 31 19:00:02  2017,x,x,x
Tue Jan 31 19:15:01  2017,46.281,0.14 ,0.00 
Tue Jan 31 19:30:01  2017,113.519 ,0.20 , 3.97 
Tue Jan 31 19:45:01  2017,x,x,x
Tue Jan 31 20:00:01  2017,x,x,x
Tue Jan 31 20:15:01  2017,52.865 ,0.69 ,0.05 
Tue Jan 31 20:30:01  2017,x,x,x
Tue Jan 31 20:45:01  2017,x,x,x
Tue Jan 31 21:00:01  2017,116.91 ,1.18 ,4.77 
Tue Jan 31 21:15:01  2017,x,x,x
Tue Jan 31 21:30:01  2017,37.645 ,0.28 ,0.00 
Tue Jan 31 21:45:01  2017,x,x,x
Tue Jan 31 22:00:01  2017,x,x,x
Tue Jan 31 22:15:02  2017,47.101,2.17 ,7.45 
Tue Jan 31 22:30:01  2017,42.783 ,0.18 ,2.87 
Tue Jan 31 22:45:01  2017,x,x,x
Tue Jan 31 23:00:01  2017,x,x,x
Tue Jan 31 23:15:01  2017,x,x,x
