Date,Ping,Download-Speed,Upload-Speed
Sat Feb  4 16:30:01  2017,x,x,x
Sat Feb  4 16:45:02  2017,x,x,x
Sat Feb  4 17:00:01  2017,x,x,x
Sat Feb  4 17:15:01  2017,x,x,x
Sat Feb  4 17:30:01  2017,43.296 ,0.42 ,0.05
Sat Feb  4 17:45:01  2017,x,x,x
Sat Feb  4 18:00:01  2017,x,x,x
Sat Feb  4 18:15:01  2017,x,x,x
Sat Feb  4 18:30:01  2017,x,x,x
Sat Feb  4 18:45:01  2017,x,x,x
Sat Feb  4 19:00:01  2017,x,x,x
Sat Feb  4 19:15:01  2017,183.087 ,0.19 ,0.00 
Sat Feb  4 19:30:01  2017,x,x,x
Sat Feb  4 19:45:01  2017,x,x,x
Sat Feb  4 20:00:01  2017,41.307 ,0.89 ,0.00 
Sat Feb  4 20:15:01  2017,x,x,x
Sat Feb  4 20:30:02  2017,x,x,x
Sat Feb  4 20:45:01  2017,x,x,x
Sat Feb  4 21:00:01  2017,35.786 ,0.27 ,0.00 
Sat Feb  4 21:15:01  2017,x,x,x
Sat Feb  4 21:30:01  2017,x,x,x
Sat Feb  4 21:45:01  2017,34.587 ,0.12 ,0.00 
Sat Feb  4 22:00:01  2017,x,x,x
Sat Feb  4 22:15:01  2017,x,x,x
Sat Feb  4 22:30:01  2017,77.002 ,0.19 ,0.03 
Sat Feb  4 22:45:01  2017,x,x,x
Sat Feb  4 23:00:01  2017,40.176 ,0.52 ,0.06 
Sat Feb  4 23:15:01  2017,x,x,x
Sat Feb  4 23:30:01  2017,33.498 ,0.77 ,0.07 
Sat Feb  4 23:45:01  2017,39.493 ,0.66 ,0.10
Sun Feb  5 00:00:01  2017,x,x,x
Sun Feb  5 00:15:01  2017,x,x,x
Sun Feb  5 00:30:01  2017,x,x,x
Sun Feb  5 00:45:01  2017,x,x,x
Sun Feb  5 01:00:01  2017,x,x,x
Sun Feb  5 01:15:01  2017,x,x,x
Sun Feb  5 01:30:01  2017,x,x,x
Sun Feb  5 01:45:01  2017,x,x,x
Sun Feb  5 02:00:01  2017,34.278 ,0.67 ,0.05 
Sun Feb  5 02:15:01  2017,x,x,x
Sun Feb  5 02:30:01  2017,x,x,x
Sun Feb  5 02:45:01  2017,38.795 ,1.32 ,0.13
Sun Feb  5 03:00:01  2017,x,x,x
Sun Feb  5 03:15:01  2017,36.816 ,2.11 ,0.00
Sun Feb  5 03:30:01  2017,x,x,x
Sun Feb  5 03:45:01  2017,x,x,x
Sun Feb  5 04:00:01  2017,x,x,x
Sun Feb  5 04:15:02  2017,x,x,x
Sun Feb  5 04:30:01  2017, 32.398 ,0.96 ,0.00 
Sun Feb  5 04:45:01  2017,38.321 ,1.18 ,0.06 
Sun Feb  5 05:00:01  2017,x,x,x
Sun Feb  5 05:15:01  2017,37.883 ,1.60 ,0.04 
Sun Feb  5 05:30:01  2017,x,x,x
Sun Feb  5 05:45:01  2017,37.585 ,0.29 ,0.00
Sun Feb  5 06:00:01  2017,x,x,x
Sun Feb  5 06:15:01  2017,x,x,x
Sun Feb  5 06:30:01  2017,x,x,x
Sun Feb  5 06:45:01  2017,x,x,x
Sun Feb  5 07:00:01  2017,x,x,x
Sun Feb  5 07:15:01  2017,39.605 ,0.49 ,0.00 
Sun Feb  5 07:30:01  2017,33.65 ,1.37 ,0.00 
Sun Feb  5 07:45:01  2017,33.351 ,0.08 ,0.00 
Sun Feb  5 08:00:01  2017,x,x,x
Sun Feb  5 08:15:01  2017,37.851 ,0.53 ,0.00 
Sun Feb  5 08:30:01  2017,x,x,x
Sun Feb  5 08:45:01  2017,x,x,x
Sun Feb  5 09:00:01  2017,x,x,x
Sun Feb  5 09:15:01  2017,x,x,x
Sun Feb  5 09:30:01  2017,x,x,x
Sun Feb  5 09:45:01  2017,x,x,x
Sun Feb  5 10:00:01  2017,x,x,x
Sun Feb  5 10:15:01  2017,x,x,x
Sun Feb  5 10:30:01  2017,x,x,x
Sun Feb  5 10:45:01  2017,x,x,x
Sun Feb  5 11:00:01  2017,x,x,x
Sun Feb  5 11:15:01  2017,x,x,x
Sun Feb  5 11:30:01  2017,x,x,x
Sun Feb  5 11:45:01  2017,x,x,x
Sun Feb  5 12:00:01  2017,35.076 ,0.22 ,0.00 
Sun Feb  5 12:15:01  2017,35.608 ,0.99 ,0.06 
Sun Feb  5 12:30:01  2017,x,x,x
Sun Feb  5 12:45:01  2017,36.795 ,0.53 ,0.00 
Sun Feb  5 13:00:01  2017,54.439 ,0.48 ,0.00 
Sun Feb  5 13:15:01  2017,x,x,x
Sun Feb  5 13:30:01  2017,x,x,x
Sun Feb  5 13:45:01  2017,40.283 ,0.14 ,0.00 
Sun Feb  5 14:00:01  2017,x,x,x
Sun Feb  5 14:15:01  2017,x,x,x
Sun Feb  5 14:30:01  2017,x,x,x
Sun Feb  5 14:45:01  2017,x,x,x
Sun Feb  5 15:00:01  2017,x,x,x
Sun Feb  5 15:15:01  2017,33.943 ,0.64 ,0.00 
Sun Feb  5 15:30:01  2017,x,x,x
Sun Feb  5 15:45:01  2017,x,x,x
Sun Feb  5 16:00:01  2017,x,x,x
Sun Feb  5 16:15:01  2017,x,x,x
Sun Feb  5 16:30:01  2017,x,x,x
Sun Feb  5 16:45:01  2017,x,x,x
Sun Feb  5 17:00:01  2017,x,x,x
Sun Feb  5 17:15:01  2017,x,x,x
Sun Feb  5 17:30:01  2017,x,x,x
Sun Feb  5 17:45:01  2017,x,x,x
Sun Feb  5 18:00:01  2017,46.592 ,0.22 ,0.00 
Sun Feb  5 18:15:01  2017,113.091 ,0.37 ,0.12 
Sun Feb  5 18:30:01  2017,x,x,x
Sun Feb  5 18:45:01  2017,56.106 ,0.22 ,0.00
Sun Feb  5 19:00:01  2017,x,x,x
Sun Feb  5 19:15:01  2017,x,x,x
Sun Feb  5 19:30:01  2017,x,x,x
Sun Feb  5 19:45:01  2017,x,x,x
Sun Feb  5 20:00:01  2017,x,x,x
Sun Feb  5 20:15:01  2017,x,x,x
Sun Feb  5 20:30:01  2017,x,x,x
Sun Feb  5 20:45:01  2017,x,x,x
Sun Feb  5 21:00:01  2017,x,x,x
Sun Feb  5 21:15:01  2017,x,x,x
Sun Feb  5 21:30:01  2017,x,x,x
Sun Feb  5 21:45:01  2017,x,x,x
Sun Feb  5 22:00:01  2017,x,x,x
Sun Feb  5 22:15:01  2017,x,x,x
Sun Feb  5 22:30:01  2017,x,x,x
Sun Feb  5 22:45:01  2017,52.206, 2.12 ,4.51 
Sun Feb  5 23:00:01  2017,53.435 ,4.24 ,2.42 
Sun Feb  5 23:15:02  2017,x,x,x
Sun Feb  5 23:30:01  2017,x,x,x
Sun Feb  5 23:45:01  2017,43.324 ,0.53 , 0.75 
Mon Feb  6 00:00:01  2017,34.595 ,2.76 ,1.47 
Mon Feb  6 00:15:01  2017,37.753 ,5.13 ,1.38 
Mon Feb  6 00:30:01  2017,35.299 ,6.22 ,0.63 
Mon Feb  6 00:45:01  2017,x,x,x
Mon Feb  6 01:00:01  2017,x,x,x
Mon Feb  6 01:15:01  2017,x,x,x
Mon Feb  6 01:30:01  2017,x,x,x
Mon Feb  6 01:45:01  2017,39.602 ,4.95 ,1.42 
Mon Feb  6 02:00:01  2017,x,x,x
Mon Feb  6 02:15:01  2017,33.434 ,6.10 , 1.52 
Mon Feb  6 02:30:01  2017,41.652 ,7.36 ,3.18 
Mon Feb  6 02:45:01  2017,35.143 ,6.21 ,4.30 
Mon Feb  6 03:00:01  2017,34.584 ,6.76 ,1.31 
Mon Feb  6 03:15:01  2017,33.108 ,7.23 ,1.67 
Mon Feb  6 03:30:01  2017,36.78 ,12.80 ,4.13 
Mon Feb  6 03:45:01  2017,36.063 ,7.15 ,2.82 
Mon Feb  6 04:00:01  2017,x,x,x
Mon Feb  6 04:15:01  2017,33.956 ,9.93 ,1.66 
Mon Feb  6 04:30:01  2017,40.74 ,6.78 ,2.55 
Mon Feb  6 04:45:01  2017,39.623 ,7.65 ,1.89 
Mon Feb  6 05:00:01  2017,38.459 ,3.85 ,2.18 
Mon Feb  6 05:15:01  2017,34.115 ,15.07 ,1.65 
Mon Feb  6 05:30:01  2017,x,x,x
Mon Feb  6 05:45:01  2017,x,x,x
Mon Feb  6 06:00:01  2017,34.107 ,6.49 ,1.18 
Mon Feb  6 06:15:01  2017,x,x,x
Mon Feb  6 06:30:01  2017,38.789 ,11.19 ,3.91 
Mon Feb  6 06:45:01  2017,x,x,x
Mon Feb  6 07:00:01  2017,x,x,x
Mon Feb  6 07:15:01  2017,35.788 ,1.50 ,1.82 
Mon Feb  6 07:30:01  2017,44.564 ,7.24 ,2.51 
Mon Feb  6 07:45:01  2017,53.616 ,2.32 ,1.79 
Mon Feb  6 08:00:01  2017,x,x,x
Mon Feb  6 08:15:01  2017,x,x,x
Mon Feb  6 08:30:01  2017,x,x,x
Mon Feb  6 08:45:01  2017,x,x,x
Mon Feb  6 09:00:01  2017,x,x,x
Mon Feb  6 09:15:01  2017,61.28 ,7.63 ,2.36
Mon Feb  6 09:30:01  2017,x,x,x
Mon Feb  6 09:45:01  2017,x,x,x
Mon Feb  6 10:00:01  2017,x,x,x
Mon Feb  6 10:15:01  2017,x,x,x
Mon Feb  6 10:30:01  2017,x,x,x
Mon Feb  6 10:45:01  2017, 56.246 ,0.94 ,0.00 
Mon Feb  6 11:00:01  2017,60.439 ,4.02 ,1.70 
Mon Feb  6 11:15:01  2017,41.124 ,3.14 ,2.67 
Mon Feb  6 11:30:01  2017,62.256 ,3.41 ,0.71 
Mon Feb  6 11:45:01  2017,x,x,x
Mon Feb  6 12:00:01  2017,52.834 ,5.43 ,1.10 
Mon Feb  6 12:15:01  2017,x,x,x
Mon Feb  6 12:30:01  2017,x,x,x
Mon Feb  6 12:45:01  2017,x,x,x
Mon Feb  6 13:00:01  2017,60.321 ,2.89 ,1.30 
Mon Feb  6 13:15:01  2017,45.505 ,0.65 ,2.39 
Mon Feb  6 13:30:01  2017,51.535 ,1.09 ,1.60 
Mon Feb  6 13:45:01  2017,49.305 ,4.50 ,3.16 
Mon Feb  6 14:00:01  2017,x,x,x
Mon Feb  6 14:15:01  2017,x,x,x
Mon Feb  6 14:30:01  2017,53.949 ,2.60 ,1.11 
Mon Feb  6 14:45:01  2017,48.635 ,4.08 ,1.48 
Mon Feb  6 15:00:01  2017,39.912,4.36 ,0.78 
Mon Feb  6 15:15:01  2017,53.931, 6.25 ,2.07 
Mon Feb  6 15:30:01  2017,49.391, 2.51, 0.97 
Mon Feb  6 15:45:01  2017,x,x,x
Mon Feb  6 16:00:01  2017,x,x,x
Mon Feb  6 16:15:01  2017,x,x,x
Mon Feb  6 16:30:01  2017,53.304 ,4.85 ,4.19 
Mon Feb  6 16:45:01  2017,46.438 ,5.42 ,4.57 
Mon Feb  6 17:00:01  2017,38.167 ,4.58 ,8.73 
Mon Feb  6 17:15:01  2017,55.724 ,1.43 ,10.33 
Mon Feb  6 17:30:01  2017,x,x,x
Mon Feb  6 17:45:01  2017,52.781 ,4.55 ,4.55 
Mon Feb  6 18:00:01  2017,x,x,x
Mon Feb  6 18:15:01  2017,59.784 ,3.72 ,9.84 
Mon Feb  6 18:30:01  2017,x,x,x
Mon Feb  6 18:45:01  2017,x,x,x
Mon Feb  6 19:00:01  2017,53.308 ,9.14 ,2.00 
Mon Feb  6 19:15:01  2017,47.099 ,5.54 ,5.50 
Mon Feb  6 19:30:01  2017,39.615 ,5.48 ,6.68
Mon Feb  6 19:45:01  2017,x,x,x
Mon Feb  6 20:00:01  2017,x,x,x
Mon Feb  6 20:15:01  2017,x,x,x
Mon Feb  6 20:30:01  2017,50.788 ,5.37 ,5.36 
Mon Feb  6 20:45:01  2017,x,x,x
Mon Feb  6 21:00:01  2017,53.376 ,2.92 ,4.10 
Mon Feb  6 21:15:01  2017,x,x,x
Mon Feb  6 21:30:01  2017,52.301 ,1.44 ,6.58 
Mon Feb  6 21:45:01  2017,x,x,x
Mon Feb  6 22:00:02  2017,54.827 ,4.26 ,6.00 
Mon Feb  6 22:15:01  2017,58.777 ,1.40 ,3.50 
Mon Feb  6 22:30:01  2017,51.041 ,1.32 ,3.82 
Mon Feb  6 22:45:01  2017,52.906 ,2.35 ,3.23 
Mon Feb  6 23:00:02  2017,47.634 ,1.55 ,4.80 
Mon Feb  6 23:15:01  2017,54.81 ,5.08 ,12.95 
Mon Feb  6 23:30:01  2017,49.352 ,5.30 ,7.07 
Mon Feb  6 23:45:01  2017,38.58 ,4.07 ,5.53 
Tue Feb  7 00:00:02  2017,39.886 ,2.96 ,2.53 
Tue Feb  7 00:15:01  2017,61.687 ,5.65 ,7.37 
Tue Feb  7 00:30:01  2017,x,x,x
Tue Feb  7 00:45:01  2017,50.826 ,3.51 ,2.27 
Tue Feb  7 01:00:01  2017,39.796 ,3.10 ,2.77 
Tue Feb  7 01:15:01  2017,36.159 ,7.37 ,7.76 
Tue Feb  7 01:30:01  2017,40.453 ,2.76 ,2.35 
Tue Feb  7 01:45:01  2017,37.08 ,10.17 ,10.33 
Tue Feb  7 02:00:01  2017,43.202 ,15.43 ,7.83 
Tue Feb  7 02:15:01  2017,39.082 ,8.16 ,8.10 
Tue Feb  7 02:30:01  2017,34.647 ,8.89 ,7.05 
Tue Feb  7 02:45:01  2017,35.492 ,8.95 ,1.97 
Tue Feb  7 03:00:01  2017,x,x,x
Tue Feb  7 03:15:01  2017,34.475 ,7.95 ,15.15 
Tue Feb  7 03:30:01  2017,31.297 ,7.32 ,7.74 
Tue Feb  7 03:45:01  2017,35.422 ,16.83 ,11.81 
Tue Feb  7 04:00:01  2017,x,x,x
Tue Feb  7 04:15:01  2017,34.099 ,7.46 ,10.06 
Tue Feb  7 04:30:01  2017,x,x,x
Tue Feb  7 04:45:01  2017,x,x,x
Tue Feb  7 05:00:01  2017,37.269 ,8.82 ,2.45 
Tue Feb  7 05:15:01  2017,36.945 ,11.53 ,7.76 
Tue Feb  7 05:30:01  2017,x,x,x
Tue Feb  7 05:45:01  2017,x,x,x
Tue Feb  7 06:00:01  2017,x,x,x
Tue Feb  7 06:15:02  2017,51.063 ,11.70 ,14.52 
Tue Feb  7 06:30:01  2017,x,x,x
Tue Feb  7 06:45:01  2017,40.179 ,11.13 ,15.01 
Tue Feb  7 07:00:01  2017,x,x,x
Tue Feb  7 07:15:01  2017,47.264 ,5.85 ,13.81 
Tue Feb  7 07:30:01  2017,52.785 ,4.46 ,5.79 
Tue Feb  7 07:45:01  2017,x,x,x
Tue Feb  7 08:00:01  2017,x,x,x
Tue Feb  7 08:15:01  2017,57.796 ,4.14 ,6.28 
Tue Feb  7 08:30:01  2017,40.72 ,0.41 ,9.56 
Tue Feb  7 08:45:01  2017,x,x,x
Tue Feb  7 09:00:01  2017,x,x,x
Tue Feb  7 09:15:01  2017,45.826 ,3.62 ,4.48 
Tue Feb  7 09:30:01  2017,x,x,x
Tue Feb  7 09:45:01  2017,x,x,x
Tue Feb  7 10:00:01  2017,52.434 ,6.22 ,6.11 
Tue Feb  7 10:15:01  2017,x,x,x
Tue Feb  7 10:30:01  2017,x,x,x
Tue Feb  7 10:45:01  2017,52.965 ,5.57 ,12.97 
Tue Feb  7 11:00:01  2017,53.151 ,3.22 ,4.70 
Tue Feb  7 11:15:02  2017,x,x,x
Tue Feb  7 11:30:01  2017,48.395 ,1.05 ,7.04 
Tue Feb  7 11:45:01  2017,58.63 ,3.71 ,5.15 
Tue Feb  7 12:00:01  2017,47.238 ,2.16 ,6.71 
Tue Feb  7 12:15:01  2017,59.579 ,2.57 ,3.34 
Tue Feb  7 12:30:01  2017,x,x,x
Tue Feb  7 12:45:01  2017,x,x,x
Tue Feb  7 13:00:01  2017,x,x,x
Tue Feb  7 13:15:01  2017,52.617 ,2.07 ,8.57 
Tue Feb  7 13:30:01  2017,x,x,x
Tue Feb  7 13:45:01  2017,54.108 ,2.45 ,2.41 
Tue Feb  7 14:00:01  2017,39.673 ,4.13 ,2.97 
Tue Feb  7 14:15:01  2017,45.27 ,2.87 ,5.07 
Tue Feb  7 14:30:01  2017,59.966 ,4.45 ,7.00 
Tue Feb  7 14:45:01  2017,39.091 ,2.57 , 9.68 
Tue Feb  7 15:00:01  2017,39.069 ,1.29 ,9.72 
Tue Feb  7 15:15:01  2017,55.304 ,3.47 ,4.51 
Tue Feb  7 15:30:01  2017,46.839 ,1.16 ,6.51 
Tue Feb  7 15:45:01  2017,47.175 ,8.36 ,10.50 
Tue Feb  7 16:00:01  2017,53.81 ,1.11 ,7.00 
Tue Feb  7 16:15:01  2017,x,x,x
Tue Feb  7 16:30:01  2017,55.043 ,5.84 ,11.93 
Tue Feb  7 16:45:01  2017,39.275 ,1.34 ,7.31 
Tue Feb  7 17:00:01  2017,41.281 ,1.90 ,11.63 
Tue Feb  7 17:15:01  2017,44.489 ,2.74 , 9.34 
Tue Feb  7 17:30:01  2017,61.318 ,4.91 ,7.39 
Tue Feb  7 17:45:01  2017,57.696 ,4.25 ,6.74 
Tue Feb  7 18:00:01  2017,50.664 ,2.11 ,2.27 
Tue Feb  7 18:15:01  2017,38.962 ,4.53 ,2.55 
Tue Feb  7 18:30:01  2017,61.523 ,3.35 ,6.63 
Tue Feb  7 18:45:01  2017,40.913 ,4.67 ,2.10 
Tue Feb  7 19:00:01  2017,x,x,x
Tue Feb  7 19:15:01  2017,38.942 ,1.34 ,6.75 
Tue Feb  7 19:30:01  2017,46.708 ,10.20 ,5.35 
Tue Feb  7 19:45:01  2017,48.154 ,3.06 ,8.23 
Tue Feb  7 20:00:01  2017,38.427 ,5.66 ,3.82 
Tue Feb  7 20:15:01  2017,39.839 ,5.13 ,6.96 
Tue Feb  7 20:30:01  2017,x,x,x
Tue Feb  7 20:45:01  2017,51.081 ,1.60 ,3.45 
Tue Feb  7 21:00:01  2017,x,x,x
Tue Feb  7 21:15:01  2017,47.29 ,1.64 ,6.19 
Tue Feb  7 21:30:02  2017,x,x,x
Tue Feb  7 21:45:01  2017,58.765 ,1.54 ,4.29 
Tue Feb  7 22:00:01  2017, 44.83 ,1.36 ,7.05 
Tue Feb  7 22:15:01  2017,46.715 ,2.77 ,4.35 
Tue Feb  7 22:30:01  2017,x,x,x
Tue Feb  7 22:45:01  2017, 53.425 ,2.69 ,7.90 
Tue Feb  7 23:00:01  2017,x,x,x
Tue Feb  7 23:15:01  2017,56.262 ,3.52 ,1.19 
Tue Feb  7 23:30:01  2017,45.806 ,4.18 ,10.44 
Tue Feb  7 23:45:01  2017,46.832 ,3.87 , 5.77 
Wed Feb  8 00:00:01  2017,48.397 ,6.04 ,5.63 
Wed Feb  8 00:15:01  2017,x,x,x
Wed Feb  8 00:30:01  2017,52.025 ,9.94 ,7.05 
Wed Feb  8 00:45:01  2017,46.447 ,2.82 ,5.26 
Wed Feb  8 01:00:01  2017,45.075 ,10.44 ,14.63 
Wed Feb  8 01:15:02  2017,42.612 ,3.71 ,10.18 
Wed Feb  8 01:30:01  2017,46.525 ,3.74 ,11.27 
Wed Feb  8 01:45:01  2017,x,x,x
Wed Feb  8 02:00:01  2017,x,x,x
Wed Feb  8 02:15:01  2017,x,x,x
Wed Feb  8 02:30:01  2017,36.942 ,1.10 ,20.31 
Wed Feb  8 02:45:01  2017, 35.822 ,2.91 ,10.76 
Wed Feb  8 03:00:01  2017,38.602 ,12.05 ,16.35 
Wed Feb  8 03:15:01  2017,32.986 ,3.81 ,12.31 
Wed Feb  8 03:30:01  2017,81.073 ,7.19 ,18.14 
Wed Feb  8 03:45:01  2017,37.14 ,4.45 ,9.02 
Wed Feb  8 04:00:01  2017,x,x,x
Wed Feb  8 04:15:01  2017,37.789 ,11.97 ,3.47 
Wed Feb  8 04:30:01  2017,x,x,x
Wed Feb  8 04:45:01  2017,36.132 ,14.20 ,13.73 
Wed Feb  8 05:00:01  2017,x,x,x
Wed Feb  8 05:15:01  2017,36.374 ,9.39 ,8.87 
Wed Feb  8 05:30:01  2017,36.376 ,13.59 ,15.63 
Wed Feb  8 05:45:01  2017,31.995 ,7.25 ,8.36 
Wed Feb  8 06:00:01  2017,32.139 ,3.83 ,4.29 
Wed Feb  8 06:15:01  2017,x,x,x
Wed Feb  8 06:30:01  2017,x,x,x
Wed Feb  8 06:45:01  2017,46.283 ,14.76 ,10.18 
Wed Feb  8 07:00:01  2017,x,x,x
Wed Feb  8 07:15:01  2017,40.461 ,6.81 ,9.03 
Wed Feb  8 07:30:01  2017,x,x,x
Wed Feb  8 07:45:01  2017,x,x,x
Wed Feb  8 08:00:01  2017,49.753 ,1.44 ,4.39 
Wed Feb  8 08:15:01  2017,59.614 ,4.49 , 12.43 
Wed Feb  8 08:30:01  2017,59.295 ,5.62 ,9.45 
Wed Feb  8 08:45:01  2017,46.514 ,2.49 ,10.09 
Wed Feb  8 09:00:01  2017,48.153 ,4.08 ,4.14 
Wed Feb  8 09:15:01  2017,47.762 ,7.12 ,4.65 
Wed Feb  8 09:30:01  2017,56.747 ,4.78, 0.00 
Wed Feb  8 09:45:01  2017,x,x,x
Wed Feb  8 10:00:01  2017,x,x,x
Wed Feb  8 10:15:01  2017,x,x,x
Wed Feb  8 10:30:01  2017,x,x,x
Wed Feb  8 10:45:01  2017,x,x,x
Wed Feb  8 11:00:01  2017,x,x,x
Wed Feb  8 11:15:01  2017,x,x,x
Wed Feb  8 11:30:01  2017,x,x,x
Wed Feb  8 11:45:01  2017,x,x,x
Wed Feb  8 12:00:01  2017,x,x,x
Wed Feb  8 12:15:01  2017,x,x,x
Wed Feb  8 12:30:01  2017,x,x,x
Wed Feb  8 12:45:01  2017,x,x,x
Wed Feb  8 13:00:01  2017,x,x,x
Wed Feb  8 13:15:01  2017,x,x,x
Wed Feb  8 13:30:01  2017,x,x,x
Wed Feb  8 13:45:01  2017,x,x,x
Wed Feb  8 14:00:01  2017,x,x,x
Wed Feb  8 14:15:01  2017,x,x,x
Wed Feb  8 14:30:01  2017,x,x,x
Wed Feb  8 14:45:01  2017,x,x,x
Wed Feb  8 15:00:01  2017,x,x,x
Wed Feb  8 15:15:01  2017,x,x,x
Wed Feb  8 15:30:01  2017,x,x,x
Wed Feb  8 15:45:01  2017,x,x,x
Wed Feb  8 16:00:01  2017,x,x,x
Wed Feb  8 16:15:01  2017,x,x,x
Wed Feb  8 16:30:01  2017,x,x,x
Wed Feb  8 16:45:01  2017,x,x,x
Wed Feb  8 17:00:01  2017,x,x,x
Wed Feb  8 17:15:01  2017,x,x,x
Wed Feb  8 17:30:01  2017,x,x,x
Wed Feb  8 17:45:01  2017,x,x,x
Wed Feb  8 18:00:01  2017,x,x,x
Wed Feb  8 18:15:01  2017,x,x,x
Wed Feb  8 18:30:01  2017,x,x,x
Wed Feb  8 18:45:01  2017,x,x,x
Wed Feb  8 19:00:01  2017,x,x,x
Wed Feb  8 19:15:01  2017,x,x,x
Wed Feb  8 19:30:01  2017,x,x,x
Wed Feb  8 19:45:01  2017,x,x,x
Wed Feb  8 20:00:01  2017,x,x,x
Wed Feb  8 20:15:01  2017,x,x,x
Wed Feb  8 20:30:01  2017,x,x,x
Wed Feb  8 20:45:01  2017,x,x,x
Wed Feb  8 21:00:01  2017,x,x,x
Wed Feb  8 21:15:01  2017,x,x,x
Wed Feb  8 21:30:01  2017,x,x,x
Wed Feb  8 21:45:01  2017,x,x,x
Wed Feb  8 22:00:01  2017,x,x,x
Wed Feb  8 22:15:01  2017,x,x,x
Wed Feb  8 22:30:01  2017,x,x,x
Wed Feb  8 22:45:01  2017,x,x,x
Wed Feb  8 23:00:01  2017,x,x,x
Wed Feb  8 23:15:01  2017,x,x,x
Wed Feb  8 23:30:01  2017,x,x,x
Wed Feb  8 23:45:01  2017,x,x,x
Thu Feb  9 00:00:01  2017,x,x,x
Thu Feb  9 00:15:01  2017,x,x,x
Thu Feb  9 00:30:01  2017,x,x,x
Thu Feb  9 00:45:01  2017,x,x,x
Thu Feb  9 01:00:01  2017,x,x,x
Thu Feb  9 01:15:01  2017,x,x,x
Thu Feb  9 01:30:01  2017,x,x,x
Thu Feb  9 01:45:01  2017,x,x,x
Thu Feb  9 02:00:01  2017,x,x,x
Thu Feb  9 02:15:01  2017,x,x,x
Thu Feb  9 02:30:01  2017,x,x,x
Thu Feb  9 02:45:01  2017,34.619 ,6.42 ,1.39 
Thu Feb  9 03:00:01  2017,x,x,x
Thu Feb  9 03:15:01  2017,34.868 ,2.51 ,3.37 
Thu Feb  9 03:30:01  2017,32.733 ,1.04 ,4.25 
Thu Feb  9 03:45:01  2017,35.173 ,2.52 ,1.78 
Thu Feb  9 04:00:01  2017,36.75 ,12.67 ,4.01 
Thu Feb  9 04:15:01  2017,x,x,x
Thu Feb  9 04:30:01  2017,x,x,x
Thu Feb  9 04:45:01  2017,x,x,x
Thu Feb  9 05:00:01  2017,x,x,x
Thu Feb  9 05:15:01  2017,32.055 ,4.71 ,3.14 
Thu Feb  9 05:30:01  2017,x,x,x
Thu Feb  9 05:45:01  2017,32.776 ,7.32 ,2.10 
Thu Feb  9 06:00:01  2017,x,x,x
Thu Feb  9 06:15:01  2017,x,x,x
Thu Feb  9 06:30:01  2017,35.143 ,9.94 ,4.26 
Thu Feb  9 06:45:01  2017,x,x,x
Thu Feb  9 07:00:01  2017,39.97 ,6.47 ,1.92 
Thu Feb  9 07:15:01  2017,34.102 ,9.39 ,2.08
Thu Feb  9 07:30:01  2017,x,x,x
Thu Feb  9 07:45:01  2017,x,x,x
Thu Feb  9 08:00:01  2017,x,x,x
Thu Feb  9 08:15:01  2017,x,x,x
Thu Feb  9 08:30:01  2017,x,x,x
Thu Feb  9 08:45:01  2017,x,x,x
Thu Feb  9 09:00:01  2017,x,x,x
Thu Feb  9 09:15:01  2017,x,x,x
Thu Feb  9 09:30:01  2017,x,x,x
Thu Feb  9 09:45:01  2017,x,x,x
Thu Feb  9 10:00:01  2017,x,x,x
Thu Feb  9 10:15:01  2017,x,x,x
Thu Feb  9 10:30:01  2017,x,x,x
Thu Feb  9 10:45:01  2017,x,x,x
Thu Feb  9 11:00:01  2017,x,x,x
Thu Feb  9 11:15:01  2017,x,x,x
Thu Feb  9 11:30:01  2017,x,x,x
Thu Feb  9 11:45:01  2017,x,x,x
Thu Feb  9 12:00:01  2017,x,x,x
Thu Feb  9 12:15:01  2017,x,x,x
Thu Feb  9 12:30:01  2017,x,x,x
Thu Feb  9 12:45:01  2017,x,x,x
Thu Feb  9 13:00:01  2017,x,x,x
Thu Feb  9 13:15:01  2017,x,x,x
Thu Feb  9 13:30:01  2017,x,x,x
Thu Feb  9 13:45:01  2017,x,x,x
Thu Feb  9 14:00:01  2017,x,x,x
Thu Feb  9 14:15:01  2017,x,x,x
Thu Feb  9 14:30:01  2017,x,x,x
Thu Feb  9 14:45:01  2017,x,x,x
Thu Feb  9 15:00:01  2017,x,x,x
Thu Feb  9 15:15:01  2017,x,x,x
Thu Feb  9 15:30:01  2017,x,x,x
Thu Feb  9 15:45:01  2017,x,x,x
Thu Feb  9 16:00:01  2017,x,x,x
Thu Feb  9 16:15:01  2017,x,x,x
Thu Feb  9 16:30:01  2017,x,x,x
Thu Feb  9 16:45:01  2017,x,x,x
Thu Feb  9 17:00:01  2017,x,x,x
Thu Feb  9 17:15:02  2017,x,x,x
Thu Feb  9 17:30:01  2017,x,x,x
Thu Feb  9 17:45:01  2017,x,x,x
Thu Feb  9 18:00:01  2017,x,x,x
Thu Feb  9 18:15:01  2017,x,x,x
Thu Feb  9 18:30:01  2017,x,x,x
Thu Feb  9 18:45:01  2017,x,x,x
Thu Feb  9 19:00:01  2017,x,x,x
Thu Feb  9 19:15:01  2017,x,x,x
Thu Feb  9 19:30:01  2017,x,x,x
Thu Feb  9 19:45:01  2017,x,x,x
Thu Feb  9 20:00:01  2017,x,x,x
