Tue Nov  1 02:50:01  2016,64.569 ,8.18 ,6.39 
Tue Nov  1 02:55:01  2016,37.495 ,19.29 ,11.98 
Tue Nov  1 03:00:01  2016,36.428 ,18.39 ,11.63 
Tue Nov  1 03:05:01  2016,37.64 ,16.97 ,11.81 
Tue Nov  1 03:10:01  2016,35.953 ,17.89 ,12.22 
Tue Nov  1 03:15:01  2016, 36.605 ,15.48 ,12.60 
Tue Nov  1 03:20:01  2016,34.96 ,19.28 ,12.14 
Tue Nov  1 03:25:01  2016,35.765 ,19.00 ,12.11 
Tue Nov  1 03:30:01  2016,37.086 ,19.29 ,12.04 
Tue Nov  1 03:35:01  2016,33.615 ,18.85 ,12.37 
Tue Nov  1 03:40:01  2016,34.069 ,18.25 ,12.53 
Tue Nov  1 03:45:01  2016,32.299 ,18.73 ,12.22 
Tue Nov  1 03:50:02  2016,34.779 ,18.70 ,11.92 
Tue Nov  1 03:55:01  2016,35.772 ,17.38 ,11.94 
Tue Nov  1 04:00:01  2016,33.289 ,18.60 ,12.34 
Tue Nov  1 04:05:01  2016,35.973 ,17.93 ,12.67 
Tue Nov  1 04:10:01  2016,35.098 ,17.46 ,12.93 
Tue Nov  1 04:15:01  2016,33.45 ,18.80 ,12.90 
Tue Nov  1 04:20:01  2016,35.618 ,17.92 ,12.82 
Tue Nov  1 04:25:01  2016,35.577 ,17.03 ,12.62 
Tue Nov  1 04:30:01  2016,38.759 ,18.80 ,12.21 
Tue Nov  1 04:35:01  2016,32.98 ,18.68 ,12.12 
Tue Nov  1 04:40:02  2016,30.451 ,18.57 ,12.08 
Tue Nov  1 04:45:01  2016,31.467 ,20.02 ,12.22 
Tue Nov  1 04:50:01  2016,29.976 ,19.72 ,12.14 
Tue Nov  1 04:55:01  2016,29.428 ,19.79 ,12.45 
Tue Nov  1 05:00:01  2016,36.441 ,19.95 ,12.60 
Tue Nov  1 05:05:01  2016,36.634 ,19.36 ,12.42 
Tue Nov  1 05:10:01  2016,36.649 ,17.54 ,12.64 
Tue Nov  1 05:15:01  2016,29.422,  17.31 ,12.29 
Tue Nov  1 05:20:01  2016,35.631 ,19.95 ,12.34 
Tue Nov  1 05:25:01  2016,30.022 ,19.14 ,12.27 
Tue Nov  1 05:30:01  2016,33.084 ,17.58 ,12.18 
Tue Nov  1 05:35:01  2016,29.65 ,18.08 ,11.83 
Tue Nov  1 05:40:01  2016,31.111 ,19.87 ,11.68 
Tue Nov  1 05:45:01  2016,30.869 ,18.56 ,12.18 
Tue Nov  1 05:50:01  2016,32.796 ,19.14 ,11.31 
Tue Nov  1 05:55:01  2016,33.508 ,19.00 ,12.35 
Tue Nov  1 06:00:01  2016,30.433 ,19.25 ,11.95 
Tue Nov  1 06:05:01  2016,35.788 ,19.38 ,11.91 
Tue Nov  1 06:10:01  2016,36.959 ,18.60 ,12.10 
Tue Nov  1 06:15:01  2016,30.796 ,18.75 ,12.01 
Tue Nov  1 06:20:01  2016,31.313 ,20.53 ,11.77 
